datetime,sku,name,brand,price,categories
2023-07-12T22:31:29.671365,124828933_NP-1033912387,Caliber Shoes Coffee/R Casual Sneakers For Men ( IRIS 694.O ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:31.325369,124831313_NP-1033912411,Caliber Shoes White Sneakers For Men ( 694 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:31.363363,124922917_NP-1033929865,Caliber Shoes Casual White/Black Sneakers For Men ( OCTANE 706.2 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:31.654402,123587797_NP-1033572951,Caliber Shoes Blue Sport Sneakers For Men ( VORTEX 824 ),Caliber Shoes,3080,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:32.147793,100005236_NP-1020636679,Caliber Black Casual Lace Up Shoes For Men- ( 509 J ),Caliber Shoes,1650,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:32.498721,124831392_NP-1033908898,Caliber Shoes Casual White/Grey Sneakers For Men ( OCTANE 706.2 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:32.693166,100005205_NP-1020642003,Caliber Blue Casual Lace Up  Shoes For Men - ( 516 SR ),Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:46.947844,123596311_NP-1033575543,Caliber Shoes LT.Grey Casual Slip on Shoes For Men ( YUCCA 668S ),Caliber Shoes,2280,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:50.512287,123587988_NP-1033576501,Caliber Shoes Green Sport Sneakers For Men ( VORTEX 824 ),Caliber Shoes,3080,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:51.330699,124750742_NP-1033887977,Caliber Shoes White Casual Sneakers For Men ( META 556 ),Caliber Shoes,3000,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:51.943613,100274615_NP-1020529795,Caliber Tan Brown Casual Lace Up Shoes For Men - ( 391 C),Caliber Shoes,1500,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:51.973998,124759431_NP-1033895195,Caliber Shoes Black Casual Sneakers For Men ( IRIS 694.D ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:52.167652,124922769_NP-1033932537,Caliber Shoes Black Casual Sneakers For Men ( IRIS 694.O ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:52.189873,124876305_NP-1033926047,Caliber Shoes Black Sport Sneakers For Men ( FALCON 836 ),Caliber Shoes,3450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:31:52.229490,124834877_NP-1033914034,Caliber Shoes White Sports For Men ( AIRY 810 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:09.544007,124183967_NP-1034035231,Caliber Grey Color Casual Sneakers For Men-360j,Caliber Shoes,1100,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:11.445245,119468307_NP-1032898359,Caliber Black Sneakers For Men (434J),Caliber Shoes,1750,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:12.115848,120464104_NP-1032872930,Caliber Grey Colour Sneakers Shoes For Men,Caliber Shoes,1650,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:12.134824,124189044_NP-1033693624,Caliber Black Color Casual Sneakers For Men-0391C,Caliber Shoes,1450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:12.158456,124186837_NP-1033700405,Caliber Green Lace Up Sneaker Shoes For Men,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:12.175492,124189050_NP-1033693626,Caliber Winered Color Casual Sneakers For Men-777,Caliber Shoes,2250,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:12.192199,101074561_NP-1021616224,Caliber Black Casual Lace Up Shoes For Men - ( 391 NB ),Caliber Shoes,1590,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:30.501254,120463122_NP-1032877183,Caliber White Colour Sneakers Shoes For Men,Caliber Shoes,1750,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:30.564135,124834852_NP-1033945584,Caliber Shoes Grey Sports For Men ( AIRY 810 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:30.616230,124185881_NP-1033697380,Caliber Black Color Casual Sneakers For Men-3230,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:31.262364,120393883_NP-1032859981,Caliber Blue Pu Leather Sneakers For Men's,Caliber Shoes,2450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:31.329606,119468302_NP-1032703415,Caliber Black/Grey Sport Shoes For Men (345),Caliber Shoes,1550,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:31.379472,124750722_NP-1033895080,Caliber Shoes White/CFR Casual Sneakers For Men ( META 556 ),Caliber Shoes,3000,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:31.769568,124187548_NP-1033697355,Caliber Coffee/R Color Casual Sneakers For Men-523,Caliber Shoes,2800,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:32.049305,119497856_NP-1032712130,Caliber Black Sneakers For Men (391C),Caliber Shoes,1500,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:51.468403,124188592_NP-1033702119,Caliber Blue Lace Up Sneaker Shoes For Men,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:51.741664,124878265_NP-1033914868,Caliber Sport Shoes Grey For Men ( ALPHA 837),Caliber Shoes,4200,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:52.123823,124190376_NP-1033704105,Caliber Grey  Color Sport Sneakers For Men-735.2,Caliber Shoes,2450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:52.388934,124194011_NP-1033704108,Caliber Grey  Color Sport Sneakers For Men-785.12,Caliber Shoes,2450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:52.452864,124189442_NP-1033693741,Caliber Black  Color Sport Sneakers For Men-640.3,Caliber Shoes,2450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:52.610203,120457979_NP-1032879057,Caliber Grey Colour Sneakers Shoes For Men,Caliber Shoes,1750,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:52.638186,124187607_NP-1033693637,Caliber Black Color Casual Sneakers For Men-523,Caliber Shoes,2800,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:32:52.807564,119465589_NP-1032701620,Caliber Navy Blue Sneakers For Men (516SR),Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:12.591190,119467352_NP-1034035407,Caliber Grey Lace Up Casual Shoes For Men (575),Caliber Shoes,1750,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:13.559056,124183949_NP-1033693622,Caliber Grey Color Casual Sneakers For Men-518,Caliber Shoes,2800,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:13.867654,124834169_NP-1033912406,Caliber Shoes Black Casual Lace Up Shoes ( IRIS 694 OSR ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:13.886324,124189060_NP-1034034413,Caliber Red/Black Color Casual Sneakers For Men-331,Caliber Shoes,1500,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:13.903655,124185868_NP-1033693631,Caliber Red Color Casual Sneakers For Men-656,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:13.920951,126919768_NP-1034977992,Caliber Sport Shoes White For Men ( LENNOX 725 ),Caliber Shoes,3650,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:13.938129,124183939_NP-1033690948,Caliber Blue Color Casual Sneakers For Men-516.SR,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:13.955267,120457974_NP-1032879056,Caliber White Colour Sport Shoes For Men,Caliber Shoes,1650,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:34.575359,124187554_NP-1033697360,Caliber Red Color Casual Sneakers For Men-535,Caliber Shoes,2250,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:35.330676,120463128_NP-1032877191,Caliber Red Colour Sport Shoes For Men,Caliber Shoes,2050,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:35.396421,124191277_NP-1033697457,Caliber Grey  Color Sport Sneakers For Men-766l,Caliber Shoes,1450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:35.441792,124194014_NP-1033704109,Caliber Grey  Color Sport Sneakers For Men-580.2,Caliber Shoes,2450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:35.460245,126922127_NP-1034977998,Caliber Sport Shoes Black For Men (DUKE 838),Caliber Shoes,4200,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:35.477177,124183964_NP-1033697368,Caliber Blue Color Casual Sneakers For Men-523.SR,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:35.493816,124189006_NP-1033687940,Caliber Blue Color Sport Sneakers For Men- 0437,Caliber Shoes,1650,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:35.510410,124183920_NP-1033693613,Caliber Black/Red Color Sport Sneakers For Men- 580,Caliber Shoes,1850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:56.528208,124844987_NP-1033914268,Caliber Shoes Black Sport Sneakers For Men ( INFERNO 832 ),Caliber Shoes,3850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:56.586881,124183974_NP-1033693629,Caliber Red Color Casual Sneakers For Men-534,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:56.605843,124192135_NP-1033702125,Caliber Blue Lace Up Sneaker Shoes For Men,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:56.623142,124183956_NP-1033697363,Caliber Black Color Casual Sneakers For Men-523,Caliber Shoes,2800,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:56.640230,124874338_NP-1033917556,Caliber Shoes Grey Sport Sneakers For Men ( FALCON 836 ),Caliber Shoes,3450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:56.656819,124183966_NP-1033687946,Caliber Red Color Casual Sneakers For Men-536,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:56.673818,124750689_NP-1033953285,Caliber Shoes Iceberg Casual Sneakers For Men ( META 556S ),Caliber Shoes,3000,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:33:56.690296,124187612_NP-1033687956,Caliber Coffee/R Color Casual Sneakers For Men-523,Caliber Shoes,2800,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:18.511912,124829464_NP-1033909821,Caliber Shoes Black Casual Sneakers For Men ( IRIS 694.O ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:18.691491,124839636_NP-1033912643,Caliber Shoes Black Sport Sneakers For Men ( STALLION 820 ),Caliber Shoes,3200,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:18.724385,124748843_NP-1033889623,Caliber Shoes Black Casual Sneakers For Men ( META 556SG ),Caliber Shoes,3000,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:18.752855,124930033_NP-1033929886,Caliber Sport Shoes OLIVE For Men ( BOLT 806),Caliber Shoes,3050,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:18.769556,124187634_NP-1033697382,Caliber Blue Color Casual Sneakers For Men-0360n,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:18.786082,119469087_NP-1032700952,Caliber Grey Sneakers For Men (332SR),Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:18.802655,124182995_NP-1033693609,Caliber Black/Red Color Sport Sneakers For Men- 581.5,Caliber Shoes,1850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:18.819408,119465592_NP-1032703416,Caliber Tan Coffee Sneakers For Men (523N),Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:40.137949,124848532_NP-1033914284,Caliber Shoes White Sport Sneakers For Men ( INFERNO 832 ),Caliber Shoes,3850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:40.179457,124751558_NP-1033887957,Caliber Shoes Black Casual Sneakers For Men ( META 556S ),Caliber Shoes,3000,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:40.231162,124873328_NP-1033927066,Caliber Sport Shoes Black For Men ( ALPHA 837),Caliber Shoes,4200,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:40.271721,100462299_NP-1020764351,Caliber Black Casual Lace Up Shoes For Men- (685),Caliber Shoes,2200,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:40.291179,124752509_NP-1033889637,Caliber Shoes Grey Casual Sneakers For Men ( META 556S ),Caliber Shoes,3000,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:40.745390,123799926_NP-1033614197,Caliber Shoes Black Sport Sneakers For Men ( VORTEX 824 ),Caliber Shoes,3080,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:40.764255,126484911_NP-1034270820,Caliber Sport Shoes Grey For Men (DUKE 838),Caliber Shoes,4200,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:40.786017,119467380_NP-1032701633,Caliber Black Sneakers For Men (523J),Caliber Shoes,1650,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:44.395701,124831382_NP-1033908892,Caliber Shoes Casual White/CFR Sneakers For Men ( OCTANE 706.2 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T22:34:44.553369,100274624_NP-1020523857,Caliber Tan Brown Casual Lace Up Shoes For Men - ( 509 C ),Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
datetime,sku,name,brand,price,categories
2023-07-12T23:27:34.675931,123587988_NP-1033576501,Caliber Shoes Green Sport Sneakers For Men ( VORTEX 824 ),Caliber Shoes,3080,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:27:34.836619,123587797_NP-1033572951,Caliber Shoes Blue Sport Sneakers For Men ( VORTEX 824 ),Caliber Shoes,3080,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:27:35.318604,100005236_NP-1020636679,Caliber Black Casual Lace Up Shoes For Men- ( 509 J ),Caliber Shoes,1650,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:27:35.544901,124831392_NP-1033908898,Caliber Shoes Casual White/Grey Sneakers For Men ( OCTANE 706.2 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:27:35.788018,124922917_NP-1033929865,Caliber Shoes Casual White/Black Sneakers For Men ( OCTANE 706.2 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:27:35.813086,123596311_NP-1033575543,Caliber Shoes LT.Grey Casual Slip on Shoes For Men ( YUCCA 668S ),Caliber Shoes,2280,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:27:36.225565,100005205_NP-1020642003,Caliber Blue Casual Lace Up  Shoes For Men - ( 516 SR ),Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:27:59.346095,100274615_NP-1020529795,Caliber Tan Brown Casual Lace Up Shoes For Men - ( 391 C),Caliber Shoes,1500,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:27:59.596740,124759431_NP-1033895195,Caliber Shoes Black Casual Sneakers For Men ( IRIS 694.D ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:27:59.646153,124750742_NP-1033887977,Caliber Shoes White Casual Sneakers For Men ( META 556 ),Caliber Shoes,3000,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:00.078719,124876305_NP-1033926047,Caliber Shoes Black Sport Sneakers For Men ( FALCON 836 ),Caliber Shoes,3450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:00.284208,124922769_NP-1033932537,Caliber Shoes Black Casual Sneakers For Men ( IRIS 694.O ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:00.332274,100274624_NP-1020523857,Caliber Tan Brown Casual Lace Up Shoes For Men - ( 509 C ),Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:00.354580,124834877_NP-1033914034,Caliber Shoes White Sports For Men ( AIRY 810 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:00.374763,124831382_NP-1033908892,Caliber Shoes Casual White/CFR Sneakers For Men ( OCTANE 706.2 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:24.492675,124183967_NP-1034035231,Caliber Grey Color Casual Sneakers For Men-360j,Caliber Shoes,1100,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:24.610399,124189044_NP-1033693624,Caliber Black Color Casual Sneakers For Men-0391C,Caliber Shoes,1450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:24.664817,120464104_NP-1032872930,Caliber Grey Colour Sneakers Shoes For Men,Caliber Shoes,1650,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:25.635378,101074561_NP-1021616224,Caliber Black Casual Lace Up Shoes For Men - ( 391 NB ),Caliber Shoes,1590,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:25.665226,119468307_NP-1032898359,Caliber Black Sneakers For Men (434J),Caliber Shoes,1750,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:25.683823,124189050_NP-1033693626,Caliber Winered Color Casual Sneakers For Men-777,Caliber Shoes,2250,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:25.702939,124186837_NP-1033700405,Caliber Green Lace Up Sneaker Shoes For Men,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:50.876912,124834852_NP-1033945584,Caliber Shoes Grey Sports For Men ( AIRY 810 ),Caliber Shoes,2850,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:50.944103,119468302_NP-1032703415,Caliber Black/Grey Sport Shoes For Men (345),Caliber Shoes,1550,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:51.044183,120393883_NP-1032859981,Caliber Blue Pu Leather Sneakers For Men's,Caliber Shoes,2450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:51.086494,120463122_NP-1032877183,Caliber White Colour Sneakers Shoes For Men,Caliber Shoes,1750,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:51.114779,124750722_NP-1033895080,Caliber Shoes White/CFR Casual Sneakers For Men ( META 556 ),Caliber Shoes,3000,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:51.136885,119497856_NP-1032712130,Caliber Black Sneakers For Men (391C),Caliber Shoes,1500,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:51.218616,124185881_NP-1033697380,Caliber Black Color Casual Sneakers For Men-3230,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:28:51.284470,124188592_NP-1033702119,Caliber Blue Lace Up Sneaker Shoes For Men,Caliber Shoes,1950,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:29:15.740639,124878265_NP-1033914868,Caliber Sport Shoes Grey For Men ( ALPHA 837),Caliber Shoes,4200,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:29:16.361356,124190376_NP-1033704105,Caliber Grey  Color Sport Sneakers For Men-735.2,Caliber Shoes,2450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:29:16.400519,123799926_NP-1033614197,Caliber Shoes Black Sport Sneakers For Men ( VORTEX 824 ),Caliber Shoes,3080,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:29:16.632307,100462299_NP-1020764351,Caliber Black Casual Lace Up Shoes For Men- (685),Caliber Shoes,2200,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:29:16.675092,120457979_NP-1032879057,Caliber Grey Colour Sneakers Shoes For Men,Caliber Shoes,1750,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:29:16.692555,124187548_NP-1033697355,Caliber Coffee/R Color Casual Sneakers For Men-523,Caliber Shoes,2800,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:29:16.710325,124189442_NP-1033693741,Caliber Black  Color Sport Sneakers For Men-640.3,Caliber Shoes,2450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:29:23.713884,124194011_NP-1033704108,Caliber Grey  Color Sport Sneakers For Men-785.12,Caliber Shoes,2450,"Fashion,Men,Shoes,Sneakers"
2023-07-12T23:29:39.286828,124187607_NP-1033693637,Caliber Black Color Casual Sneakers For Men-523,Caliber Shoes,2800,"Fashion,Men,Shoes,Sneakers"
